iter	Passed	Remaining
800	1600	397
801	1602	395
802	1603	393
803	1607	391
804	1609	389
805	1610	387
806	1612	385
807	1614	383
808	1615	381
809	1617	379
810	1619	377
811	1622	375
812	1624	373
813	1625	371
814	1627	369
815	1629	367
816	1631	365
817	1632	363
818	1634	361
819	1637	359
820	1639	357
821	1640	355
822	1642	353
823	1644	351
824	1645	349
825	1647	347
826	1649	345
827	1652	343
828	1654	341
829	1656	339
830	1658	337
831	1660	335
832	1661	333
833	1663	331
834	1665	329
835	1667	327
836	1669	325
837	1671	323
838	1672	321
839	1674	319
840	1676	316
841	1677	314
842	1679	312
843	1682	310
844	1684	309
845	1686	306
846	1687	304
847	1689	302
848	1691	300
849	1692	298
850	1694	296
851	1697	294
852	1699	292
853	1701	290
854	1702	288
855	1704	286
856	1706	284
857	1708	282
858	1709	280
859	1711	278
860	1714	276
861	1716	274
862	1718	272
863	1719	270
864	1721	268
865	1723	266
866	1724	264
867	1727	262
868	1729	260
869	1731	258
870	1733	256
871	1734	254
872	1736	252
873	1737	250
874	1739	248
875	1742	246
876	1744	244
877	1746	242
878	1748	240
879	1749	238
880	1751	236
881	1752	234
882	1754	232
883	1756	230
884	1759	228
885	1761	226
886	1763	224
887	1764	222
888	1766	220
889	1768	218
890	1769	216
891	1772	214
892	1774	212
893	1776	210
894	1778	208
895	1779	206
896	1781	204
897	1782	202
898	1784	200
899	1788	198
900	1792	196
901	1794	194
902	1796	193
903	1799	191
904	1804	189
905	1807	187
906	1808	185
907	1810	183
908	1812	181
909	1813	179
910	1815	177
911	1819	175
912	1821	173
913	1822	171
914	1824	169
915	1825	167
916	1827	165
917	1829	163
918	1830	161
919	1833	159
920	1835	157
921	1836	155
922	1838	153
923	1839	151
924	1841	149
925	1842	147
926	1844	145
927	1847	143
928	1849	141
929	1851	139
930	1852	137
931	1854	135
932	1855	133
933	1857	131
934	1859	129
935	1861	127
936	1863	125
937	1865	123
938	1867	121
939	1868	119
940	1870	117
941	1871	115
942	1873	113
943	1875	111
944	1878	109
945	1880	107
946	1881	105
947	1883	103
948	1884	101
949	1886	99
950	1888	97
951	1889	95
952	1893	93
953	1895	91
954	1896	89
955	1898	87
956	1899	85
957	1901	83
958	1903	81
959	1904	79
960	1907	77
961	1909	75
962	1911	73
963	1912	71
964	1914	69
965	1916	67
966	1917	65
967	1919	63
968	1922	61
969	1924	59
970	1926	57
971	1927	55
972	1929	53
973	1930	51
974	1932	49
975	1935	47
976	1938	45
977	1940	43
978	1942	41
979	1943	39
980	1945	37
981	1947	35
982	1949	33
983	1952	31
984	1954	29
985	1956	27
986	1957	25
987	1959	23
988	1961	21
989	1963	19
990	1965	17
991	1967	15
992	1969	13
993	1971	11
994	1972	9
995	1974	7
996	1976	5
997	1978	3
998	1979	1
999	1982	0
